date,district,service_type,day_of_week,is_weekend,month,quarter,festival_period,available_workers,demand,lag_1d_demand,lag_7d_demand,lag_14d_demand,rolling_7d_demand,rolling_30d_demand,service_demand_index
2024-02-18,Chengalpattu,Appliance Repair,6,1,2,1,0,18,10,10,14,8,8.29,7.33,0.964
2024-02-19,Chengalpattu,Appliance Repair,0,0,2,1,0,22,6,10,6,3,7.71,7.4,0.964
2024-02-20,Chengalpattu,Appliance Repair,1,0,2,1,0,25,7,6,6,2,7.71,7.23,0.964
2024-02-21,Chengalpattu,Appliance Repair,2,0,2,1,0,24,10,7,9,8,7.86,7.07,0.964
2024-02-22,Chengalpattu,Appliance Repair,3,0,2,1,0,20,16,10,6,7,8.0,7.23,0.964
2024-02-23,Chengalpattu,Appliance Repair,4,0,2,1,0,23,8,16,7,9,9.43,7.47,0.964
2024-02-24,Chengalpattu,Appliance Repair,5,1,2,1,0,21,8,8,10,6,9.57,7.6,0.964
2024-02-25,Chengalpattu,Appliance Repair,6,1,2,1,0,20,9,8,10,14,9.29,7.7,0.964
2024-02-26,Chengalpattu,Appliance Repair,0,0,2,1,0,22,11,9,6,6,9.14,7.73,0.964
2024-02-27,Chengalpattu,Appliance Repair,1,0,2,1,0,24,7,11,7,6,9.86,7.7,0.964
2024-02-28,Chengalpattu,Appliance Repair,2,0,2,1,0,22,8,7,10,9,9.86,7.63,0.964
2024-02-29,Chengalpattu,Appliance Repair,3,0,2,1,0,27,3,8,16,6,9.57,7.7,0.964
2024-03-01,Chengalpattu,Appliance Repair,4,0,3,1,0,20,3,3,8,7,7.71,7.67,0.99
2024-03-02,Chengalpattu,Appliance Repair,5,1,3,1,0,20,5,3,8,10,7.0,7.63,0.99
2024-03-03,Chengalpattu,Appliance Repair,6,1,3,1,0,21,8,5,9,10,6.57,7.6,0.99
2024-03-04,Chengalpattu,Appliance Repair,0,0,3,1,0,21,7,8,11,6,6.43,7.6,0.99
2024-03-05,Chengalpattu,Appliance Repair,1,0,3,1,0,24,9,7,7,7,5.86,7.57,0.99
2024-03-06,Chengalpattu,Appliance Repair,2,0,3,1,0,23,7,9,8,10,6.14,7.6,0.99
2024-03-07,Chengalpattu,Appliance Repair,3,0,3,1,0,23,7,7,3,16,6.0,7.73,0.99
2024-03-08,Chengalpattu,Appliance Repair,4,0,3,1,0,26,7,7,3,8,6.57,7.9,0.99
2024-03-09,Chengalpattu,Appliance Repair,5,1,3,1,0,24,11,7,5,8,7.14,7.87,0.99
2024-03-10,Chengalpattu,Appliance Repair,6,1,3,1,0,23,7,11,8,9,8.0,8.0,0.99
2024-03-11,Chengalpattu,Appliance Repair,0,0,3,1,0,21,8,7,7,11,7.86,7.93,0.99
2024-03-12,Chengalpattu,Appliance Repair,1,0,3,1,0,21,9,8,9,7,8.0,8.0,0.99
2024-03-13,Chengalpattu,Appliance Repair,2,0,3,1,0,21,12,9,7,8,8.0,7.83,0.99
2024-03-14,Chengalpattu,Appliance Repair,3,0,3,1,0,21,11,12,7,3,8.71,8.03,0.99
2024-03-15,Chengalpattu,Appliance Repair,4,0,3,1,0,19,10,11,7,3,9.29,8.2,0.99
2024-03-16,Chengalpattu,Appliance Repair,5,1,3,1,0,19,5,10,11,5,9.71,8.23,0.99
2024-03-17,Chengalpattu,Appliance Repair,6,1,3,1,0,18,15,5,7,8,8.86,8.2,0.99
2024-03-18,Chengalpattu,Appliance Repair,0,0,3,1,0,21,4,15,8,7,10.0,8.47,0.99
2024-03-19,Chengalpattu,Appliance Repair,1,0,3,1,0,22,5,4,9,9,9.43,8.27,0.99
2024-03-20,Chengalpattu,Appliance Repair,2,0,3,1,0,22,10,5,12,7,8.86,8.1,0.99
2024-03-21,Chengalpattu,Appliance Repair,3,0,3,1,0,25,6,10,11,7,8.57,8.23,0.99
2024-03-22,Chengalpattu,Appliance Repair,4,0,3,1,0,22,10,6,10,7,7.86,8.2,0.99
2024-03-23,Chengalpattu,Appliance Repair,5,1,3,1,0,21,5,10,5,11,7.86,8.2,0.99
2024-03-24,Chengalpattu,Appliance Repair,6,1,3,1,0,25,7,5,15,7,7.86,7.83,0.99
2024-03-25,Chengalpattu,Appliance Repair,0,0,3,1,0,22,5,7,4,8,6.71,7.8,0.99
2024-03-26,Chengalpattu,Appliance Repair,1,0,3,1,0,19,8,5,5,9,6.86,7.7,0.99
2024-03-27,Chengalpattu,Appliance Repair,2,0,3,1,0,22,6,8,10,12,7.29,7.67,0.99
2024-03-28,Chengalpattu,Appliance Repair,3,0,3,1,0,24,7,6,6,11,6.71,7.5,0.99
2024-03-29,Chengalpattu,Appliance Repair,4,0,3,1,0,23,9,7,10,10,6.86,7.5,0.99
2024-03-30,Chengalpattu,Appliance Repair,5,1,3,1,0,22,7,9,5,5,6.71,7.53,0.99
2024-03-31,Chengalpattu,Appliance Repair,6,1,3,1,0,25,12,7,7,15,7.0,7.67,0.99
2024-04-01,Chengalpattu,Appliance Repair,0,0,4,2,0,19,4,12,5,4,7.71,7.97,1.062
2024-04-02,Chengalpattu,Appliance Repair,1,0,4,2,0,22,6,4,8,5,7.57,7.93,1.062
2024-04-03,Chengalpattu,Appliance Repair,2,0,4,2,0,23,5,6,6,10,7.29,7.87,1.062
2024-04-04,Chengalpattu,Appliance Repair,3,0,4,2,0,22,7,5,7,6,7.14,7.8,1.062
2024-04-05,Chengalpattu,Appliance Repair,4,0,4,2,0,19,7,7,9,10,7.14,7.73,1.062
2024-04-06,Chengalpattu,Appliance Repair,5,1,4,2,0,22,8,7,7,5,6.86,7.73,1.062
2024-04-07,Chengalpattu,Appliance Repair,6,1,4,2,0,22,7,8,12,7,7.0,7.77,1.062
2024-04-08,Chengalpattu,Appliance Repair,0,0,4,2,0,22,11,7,4,5,6.29,7.77,1.062
2024-04-09,Chengalpattu,Appliance Repair,1,0,4,2,0,22,6,11,6,8,7.29,7.77,1.062
2024-04-10,Chengalpattu,Appliance Repair,2,0,4,2,0,22,15,6,5,6,7.29,7.73,1.062
2024-04-11,Chengalpattu,Appliance Repair,3,0,4,2,0,23,7,15,7,7,8.71,7.97,1.062
2024-04-12,Chengalpattu,Appliance Repair,4,0,4,2,0,22,11,7,7,9,8.71,7.9,1.062
2024-04-13,Chengalpattu,Appliance Repair,5,1,4,2,1,20,13,11,8,7,9.29,7.87,1.062
2024-04-14,Chengalpattu,Appliance Repair,6,1,4,2,1,20,8,13,7,12,10.0,7.93,1.062
2024-04-15,Chengalpattu,Appliance Repair,0,0,4,2,1,22,3,8,11,4,10.14,7.87,1.062
2024-04-16,Chengalpattu,Appliance Repair,1,0,4,2,0,20,15,3,6,6,9.0,7.8,1.062
2024-04-17,Chengalpattu,Appliance Repair,2,0,4,2,0,20,7,15,15,5,10.29,7.8,1.062
2024-04-18,Chengalpattu,Appliance Repair,3,0,4,2,0,22,8,7,7,7,9.14,7.9,1.062
2024-04-19,Chengalpattu,Appliance Repair,4,0,4,2,0,20,7,8,11,7,9.29,8.0,1.062
2024-04-20,Chengalpattu,Appliance Repair,5,1,4,2,0,20,9,7,13,8,8.71,7.9,1.062
2024-04-21,Chengalpattu,Appliance Repair,6,1,4,2,0,16,7,9,8,7,8.14,8.0,1.062
2024-04-22,Chengalpattu,Appliance Repair,0,0,4,2,0,20,5,7,3,11,8.0,7.9,1.062
2024-04-23,Chengalpattu,Appliance Repair,1,0,4,2,0,17,11,5,15,6,8.29,7.9,1.062
2024-04-24,Chengalpattu,Appliance Repair,2,0,4,2,0,24,5,11,7,15,7.71,8.03,1.062
2024-04-25,Chengalpattu,Appliance Repair,3,0,4,2,0,22,8,5,8,7,7.43,8.03,1.062
2024-04-26,Chengalpattu,Appliance Repair,4,0,4,2,0,19,7,8,7,11,7.43,8.03,1.062
2024-04-27,Chengalpattu,Appliance Repair,5,1,4,2,0,20,13,7,9,13,7.43,8.07,1.062
2024-04-28,Chengalpattu,Appliance Repair,6,1,4,2,0,20,11,13,7,8,8.0,8.27,1.062
2024-04-29,Chengalpattu,Appliance Repair,0,0,4,2,0,20,10,11,5,3,8.57,8.33,1.062
2024-04-30,Chengalpattu,Appliance Repair,1,0,4,2,0,21,11,10,11,15,9.29,8.43,1.062
2024-05-01,Chengalpattu,Appliance Repair,2,0,5,2,0,20,6,11,5,7,9.29,8.4,1.082
2024-05-02,Chengalpattu,Appliance Repair,3,0,5,2,0,22,4,6,8,8,9.43,8.47,1.082
2024-05-03,Chengalpattu,Appliance Repair,4,0,5,2,0,21,9,4,7,7,8.86,8.4,1.082
2024-05-04,Chengalpattu,Appliance Repair,5,1,5,2,0,22,8,9,13,9,9.14,8.53,1.082
2024-05-05,Chengalpattu,Appliance Repair,6,1,5,2,0,22,9,8,11,7,8.43,8.57,1.082
2024-05-06,Chengalpattu,Appliance Repair,0,0,5,2,0,18,10,9,10,5,8.14,8.63,1.082
2024-05-07,Chengalpattu,Appliance Repair,1,0,5,2,0,21,8,10,11,11,8.14,8.7,1.082
2024-05-08,Chengalpattu,Appliance Repair,2,0,5,2,0,25,7,8,6,5,7.71,8.73,1.082
2024-05-09,Chengalpattu,Appliance Repair,3,0,5,2,0,24,10,7,4,8,7.86,8.6,1.082
2024-05-10,Chengalpattu,Appliance Repair,4,0,5,2,0,23,7,10,9,7,8.71,8.73,1.082
2024-05-11,Chengalpattu,Appliance Repair,5,1,5,2,0,19,15,7,8,13,8.43,8.47,1.082
2024-05-12,Chengalpattu,Appliance Repair,6,1,5,2,0,21,10,15,9,11,9.43,8.73,1.082
2024-05-13,Chengalpattu,Appliance Repair,0,0,5,2,0,23,8,10,10,10,9.57,8.7,1.082
2024-05-14,Chengalpattu,Appliance Repair,1,0,5,2,0,25,10,8,8,11,9.29,8.53,1.082
2024-05-15,Chengalpattu,Appliance Repair,2,0,5,2,0,21,9,10,7,6,9.57,8.6,1.082
2024-05-16,Chengalpattu,Appliance Repair,3,0,5,2,0,20,9,9,10,4,9.86,8.8,1.082
2024-05-17,Chengalpattu,Appliance Repair,4,0,5,2,0,21,6,9,7,9,9.71,8.6,1.082
2024-05-18,Chengalpattu,Appliance Repair,5,1,5,2,0,16,12,6,15,8,9.57,8.57,1.082
2024-05-19,Chengalpattu,Appliance Repair,6,1,5,2,0,22,7,12,10,9,9.14,8.7,1.082
2024-05-20,Chengalpattu,Appliance Repair,0,0,5,2,0,20,7,7,8,10,8.71,8.7,1.082
2024-05-21,Chengalpattu,Appliance Repair,1,0,5,2,0,26,9,7,10,8,8.57,8.63,1.082
2024-05-22,Chengalpattu,Appliance Repair,2,0,5,2,0,19,8,9,9,7,8.43,8.7,1.082
2024-05-23,Chengalpattu,Appliance Repair,3,0,5,2,0,24,8,8,9,10,8.29,8.8,1.082
2024-05-24,Chengalpattu,Appliance Repair,4,0,5,2,0,26,9,8,6,7,8.14,8.7,1.082
2024-05-25,Chengalpattu,Appliance Repair,5,1,5,2,0,17,10,9,12,15,8.57,8.83,1.082
2024-05-26,Chengalpattu,Appliance Repair,6,1,5,2,0,21,6,10,7,10,8.29,8.9,1.082
2024-05-27,Chengalpattu,Appliance Repair,0,0,5,2,0,22,3,6,7,8,8.14,8.87,1.082
2024-05-28,Chengalpattu,Appliance Repair,1,0,5,2,0,23,10,3,9,10,7.57,8.53,1.082
2024-05-29,Chengalpattu,Appliance Repair,2,0,5,2,0,17,5,10,8,9,7.71,8.5,1.082
2024-05-30,Chengalpattu,Appliance Repair,3,0,5,2,0,19,9,5,8,9,7.29,8.33,1.082
2024-05-31,Chengalpattu,Appliance Repair,4,0,5,2,0,22,10,9,9,6,7.43,8.27,1.082
2024-06-01,Chengalpattu,Appliance Repair,5,1,6,2,0,22,8,10,10,12,7.57,8.4,1.016
2024-06-02,Chengalpattu,Appliance Repair,6,1,6,2,0,21,8,8,6,7,7.29,8.53,1.016
2024-06-03,Chengalpattu,Appliance Repair,0,0,6,2,0,21,5,8,3,7,7.57,8.5,1.016
2024-06-04,Chengalpattu,Appliance Repair,1,0,6,2,0,23,5,5,10,9,7.86,8.4,1.016
2024-06-05,Chengalpattu,Appliance Repair,2,0,6,2,0,22,7,5,5,8,7.14,8.27,1.016
2024-06-06,Chengalpattu,Appliance Repair,3,0,6,2,0,21,5,7,9,8,7.43,8.17,1.016
2024-06-07,Chengalpattu,Appliance Repair,4,0,6,2,0,18,5,5,10,9,6.86,8.07,1.016
2024-06-08,Chengalpattu,Appliance Repair,5,1,6,2,0,21,6,5,8,10,6.14,8.0,1.016
2024-06-09,Chengalpattu,Appliance Repair,6,1,6,2,0,20,5,6,8,6,5.86,7.87,1.016
2024-06-10,Chengalpattu,Appliance Repair,0,0,6,2,0,21,6,5,5,3,5.43,7.8,1.016
2024-06-11,Chengalpattu,Appliance Repair,1,0,6,2,0,19,7,6,5,10,5.57,7.5,1.016
2024-06-12,Chengalpattu,Appliance Repair,2,0,6,2,0,24,6,7,7,5,5.86,7.4,1.016
2024-06-13,Chengalpattu,Appliance Repair,3,0,6,2,0,23,6,6,5,9,5.71,7.33,1.016
2024-06-14,Chengalpattu,Appliance Repair,4,0,6,2,0,25,7,6,5,10,5.86,7.2,1.016
2024-06-15,Chengalpattu,Appliance Repair,5,1,6,2,0,21,10,7,6,8,6.14,7.13,1.016
2024-06-16,Chengalpattu,Appliance Repair,6,1,6,2,0,22,6,10,5,8,6.71,7.17,1.016
2024-06-17,Chengalpattu,Appliance Repair,0,0,6,2,0,22,9,6,6,5,6.86,7.17,1.016
2024-06-18,Chengalpattu,Appliance Repair,1,0,6,2,0,19,4,9,7,5,7.29,7.07,1.016
2024-06-19,Chengalpattu,Appliance Repair,2,0,6,2,0,22,8,4,6,7,6.86,6.97,1.016
2024-06-20,Chengalpattu,Appliance Repair,3,0,6,2,0,22,9,8,6,5,7.14,7.0,1.016
2024-06-21,Chengalpattu,Appliance Repair,4,0,6,2,0,27,9,9,7,5,7.57,7.0,1.016
2024-06-22,Chengalpattu,Appliance Repair,5,1,6,2,0,20,14,9,10,6,7.86,7.03,1.016
2024-06-23,Chengalpattu,Appliance Repair,6,1,6,2,0,20,8,14,6,5,8.43,7.23,1.016
2024-06-24,Chengalpattu,Appliance Repair,0,0,6,2,0,25,9,8,9,6,8.71,7.2,1.016
2024-06-25,Chengalpattu,Appliance Repair,1,0,6,2,0,21,8,9,4,7,8.71,7.17,1.016
2024-06-26,Chengalpattu,Appliance Repair,2,0,6,2,0,24,5,8,8,6,9.29,7.23,1.016
2024-06-27,Chengalpattu,Appliance Repair,3,0,6,2,0,24,7,5,9,6,8.86,7.3,1.016
2024-06-28,Chengalpattu,Appliance Repair,4,0,6,2,0,21,7,7,9,7,8.57,7.2,1.016
2024-06-29,Chengalpattu,Appliance Repair,5,1,6,2,0,20,8,7,14,10,8.29,7.27,1.016
2024-06-30,Chengalpattu,Appliance Repair,6,1,6,2,0,21,6,8,8,6,7.43,7.23,1.016
2024-07-01,Chengalpattu,Appliance Repair,0,0,7,3,0,22,3,6,9,9,7.14,7.1,1.007
2024-07-02,Chengalpattu,Appliance Repair,1,0,7,3,0,21,8,3,8,4,6.29,6.93,1.007
2024-07-03,Chengalpattu,Appliance Repair,2,0,7,3,0,23,11,8,5,8,6.29,6.93,1.007
2024-07-04,Chengalpattu,Appliance Repair,3,0,7,3,0,23,6,11,7,9,7.14,7.13,1.007
2024-07-05,Chengalpattu,Appliance Repair,4,0,7,3,0,25,9,6,7,9,7.0,7.17,1.007
2024-07-06,Chengalpattu,Appliance Repair,5,1,7,3,0,25,7,9,8,14,7.29,7.23,1.007
2024-07-07,Chengalpattu,Appliance Repair,6,1,7,3,0,21,10,7,6,8,7.14,7.3,1.007
2024-07-08,Chengalpattu,Appliance Repair,0,0,7,3,0,23,11,10,3,9,7.71,7.47,1.007
2024-07-09,Chengalpattu,Appliance Repair,1,0,7,3,0,23,7,11,8,8,8.86,7.63,1.007
2024-07-10,Chengalpattu,Appliance Repair,2,0,7,3,0,20,10,7,11,5,8.71,7.7,1.007
2024-07-11,Chengalpattu,Appliance Repair,3,0,7,3,0,22,7,10,6,7,8.57,7.83,1.007
2024-07-12,Chengalpattu,Appliance Repair,4,0,7,3,0,22,11,7,9,7,8.71,7.83,1.007
2024-07-13,Chengalpattu,Appliance Repair,5,1,7,3,0,21,6,11,7,8,9.0,8.0,1.007
2024-07-14,Chengalpattu,Appliance Repair,6,1,7,3,0,21,10,6,10,6,8.86,8.0,1.007
2024-07-15,Chengalpattu,Appliance Repair,0,0,7,3,0,22,5,10,11,3,8.86,8.1,1.007
2024-07-16,Chengalpattu,Appliance Repair,1,0,7,3,0,23,8,5,7,8,8.0,7.93,1.007
2024-07-17,Chengalpattu,Appliance Repair,2,0,7,3,0,24,14,8,10,11,8.14,8.0,1.007
2024-07-18,Chengalpattu,Appliance Repair,3,0,7,3,0,26,11,14,7,6,8.71,8.17,1.007
2024-07-19,Chengalpattu,Appliance Repair,4,0,7,3,0,24,8,11,11,9,9.29,8.4,1.007
2024-07-20,Chengalpattu,Appliance Repair,5,1,7,3,0,24,11,8,6,7,8.86,8.4,1.007
2024-07-21,Chengalpattu,Appliance Repair,6,1,7,3,0,26,9,11,10,10,9.57,8.47,1.007
2024-07-22,Chengalpattu,Appliance Repair,0,0,7,3,0,22,5,9,5,11,9.43,8.47,1.007
2024-07-23,Chengalpattu,Appliance Repair,1,0,7,3,0,20,10,5,8,7,9.43,8.17,1.007
2024-07-24,Chengalpattu,Appliance Repair,2,0,7,3,0,22,14,10,14,10,9.71,8.23,1.007
2024-07-25,Chengalpattu,Appliance Repair,3,0,7,3,0,23,9,14,11,7,9.71,8.4,1.007
2024-07-26,Chengalpattu,Appliance Repair,4,0,7,3,0,22,10,9,8,11,9.43,8.43,1.007
2024-07-27,Chengalpattu,Appliance Repair,5,1,7,3,0,20,12,10,11,6,9.71,8.6,1.007
2024-07-28,Chengalpattu,Appliance Repair,6,1,7,3,0,18,9,12,9,10,9.86,8.77,1.007
2024-07-29,Chengalpattu,Appliance Repair,0,0,7,3,0,22,4,9,5,5,9.86,8.83,1.007
2024-07-30,Chengalpattu,Appliance Repair,1,0,7,3,0,24,6,4,10,8,9.71,8.7,1.007
2024-07-31,Chengalpattu,Appliance Repair,2,0,7,3,0,23,4,6,14,14,9.14,8.7,1.007
2024-08-01,Chengalpattu,Appliance Repair,3,0,8,3,0,20,7,4,9,11,7.71,8.73,1.049
2024-08-02,Chengalpattu,Appliance Repair,4,0,8,3,0,24,9,7,10,8,7.43,8.7,1.049
2024-08-03,Chengalpattu,Appliance Repair,5,1,8,3,0,23,7,9,12,11,7.29,8.63,1.049
2024-08-04,Chengalpattu,Appliance Repair,6,1,8,3,0,21,8,7,9,9,6.57,8.67,1.049
2024-08-05,Chengalpattu,Appliance Repair,0,0,8,3,0,24,7,8,4,5,6.43,8.63,1.049
2024-08-06,Chengalpattu,Appliance Repair,1,0,8,3,0,23,5,7,6,10,6.86,8.63,1.049
2024-08-07,Chengalpattu,Appliance Repair,2,0,8,3,0,21,8,5,4,14,6.71,8.47,1.049
2024-08-08,Chengalpattu,Appliance Repair,3,0,8,3,0,21,7,8,7,9,7.29,8.37,1.049
2024-08-09,Chengalpattu,Appliance Repair,4,0,8,3,0,22,7,7,9,10,7.29,8.37,1.049
2024-08-10,Chengalpattu,Appliance Repair,5,1,8,3,0,21,7,7,7,12,7.0,8.27,1.049
2024-08-11,Chengalpattu,Appliance Repair,6,1,8,3,0,23,8,7,8,9,7.0,8.27,1.049
2024-08-12,Chengalpattu,Appliance Repair,0,0,8,3,0,23,9,8,7,4,7.0,8.17,1.049
2024-08-13,Chengalpattu,Appliance Repair,1,0,8,3,0,21,5,9,5,6,7.29,8.27,1.049
2024-08-14,Chengalpattu,Appliance Repair,2,0,8,3,0,22,4,5,8,4,7.29,8.1,1.049
2024-08-15,Chengalpattu,Appliance Repair,3,0,8,3,0,24,9,4,7,7,6.71,8.07,1.049
2024-08-16,Chengalpattu,Appliance Repair,4,0,8,3,0,18,5,9,7,9,7.0,8.1,1.049
2024-08-17,Chengalpattu,Appliance Repair,5,1,8,3,0,21,6,5,7,7,6.71,7.8,1.049
2024-08-18,Chengalpattu,Appliance Repair,6,1,8,3,0,21,7,6,8,8,6.57,7.63,1.049
2024-08-19,Chengalpattu,Appliance Repair,0,0,8,3,0,21,8,7,9,7,6.43,7.6,1.049
2024-08-20,Chengalpattu,Appliance Repair,1,0,8,3,0,21,9,8,5,5,6.29,7.5,1.049
2024-08-21,Chengalpattu,Appliance Repair,2,0,8,3,0,20,7,9,4,8,6.86,7.5,1.049
2024-08-22,Chengalpattu,Appliance Repair,3,0,8,3,0,22,7,7,9,7,7.29,7.57,1.049
2024-08-23,Chengalpattu,Appliance Repair,4,0,8,3,0,25,8,7,5,7,7.0,7.47,1.049
2024-08-24,Chengalpattu,Appliance Repair,5,1,8,3,0,25,8,8,6,7,7.43,7.27,1.049
2024-08-25,Chengalpattu,Appliance Repair,6,1,8,3,0,17,11,8,7,8,7.71,7.23,1.049
2024-08-26,Chengalpattu,Appliance Repair,0,0,8,3,0,20,9,11,8,9,8.29,7.27,1.049
2024-08-27,Chengalpattu,Appliance Repair,1,0,8,3,0,20,2,9,9,5,8.43,7.17,1.049
2024-08-28,Chengalpattu,Appliance Repair,2,0,8,3,0,20,4,2,7,4,7.43,6.93,1.049
2024-08-29,Chengalpattu,Appliance Repair,3,0,8,3,0,21,7,4,7,9,7.0,6.93,1.049
2024-08-30,Chengalpattu,Appliance Repair,4,0,8,3,0,24,11,7,8,5,7.0,6.97,1.049
2024-08-31,Chengalpattu,Appliance Repair,5,1,8,3,0,23,10,11,8,6,7.43,7.2,1.049
2024-09-01,Chengalpattu,Appliance Repair,6,1,9,3,0,19,9,10,11,7,7.71,7.3,1.044
2024-09-02,Chengalpattu,Appliance Repair,0,0,9,3,0,19,5,9,9,8,7.43,7.3,1.044
2024-09-03,Chengalpattu,Appliance Repair,1,0,9,3,0,24,6,5,2,9,6.86,7.23,1.044
2024-09-04,Chengalpattu,Appliance Repair,2,0,9,3,0,22,7,6,4,7,7.43,7.17,1.044
2024-09-05,Chengalpattu,Appliance Repair,3,0,9,3,0,21,9,7,7,7,7.86,7.17,1.044
2024-09-06,Chengalpattu,Appliance Repair,4,0,9,3,0,20,9,9,11,8,8.14,7.3,1.044
2024-09-07,Chengalpattu,Appliance Repair,5,1,9,3,0,21,9,9,10,8,7.86,7.33,1.044
2024-09-08,Chengalpattu,Appliance Repair,6,1,9,3,0,19,8,9,9,11,7.71,7.4,1.044
2024-09-09,Chengalpattu,Appliance Repair,0,0,9,3,0,24,6,8,5,9,7.57,7.43,1.044
2024-09-10,Chengalpattu,Appliance Repair,1,0,9,3,0,21,5,6,6,2,7.71,7.4,1.044
2024-09-11,Chengalpattu,Appliance Repair,2,0,9,3,0,22,4,5,7,4,7.57,7.3,1.044
2024-09-12,Chengalpattu,Appliance Repair,3,0,9,3,0,24,12,4,9,7,7.14,7.13,1.044
2024-09-13,Chengalpattu,Appliance Repair,4,0,9,3,0,23,9,12,9,11,7.57,7.37,1.044
2024-09-14,Chengalpattu,Appliance Repair,5,1,9,3,0,20,12,9,9,10,7.57,7.53,1.044
2024-09-15,Chengalpattu,Appliance Repair,6,1,9,3,0,20,5,12,8,9,8.0,7.63,1.044
2024-09-16,Chengalpattu,Appliance Repair,0,0,9,3,0,22,2,5,6,5,7.57,7.63,1.044
2024-09-17,Chengalpattu,Appliance Repair,1,0,9,3,0,23,4,2,5,6,7.0,7.5,1.044
2024-09-18,Chengalpattu,Appliance Repair,2,0,9,3,0,21,16,4,4,7,6.86,7.4,1.044
2024-09-19,Chengalpattu,Appliance Repair,3,0,9,3,0,24,8,16,12,9,8.57,7.67,1.044
2024-09-20,Chengalpattu,Appliance Repair,4,0,9,3,0,24,12,8,9,9,8.0,7.63,1.044
2024-09-21,Chengalpattu,Appliance Repair,5,1,9,3,0,24,9,12,12,9,8.43,7.8,1.044
2024-09-22,Chengalpattu,Appliance Repair,6,1,9,3,0,19,6,9,5,8,8.0,7.87,1.044
2024-09-23,Chengalpattu,Appliance Repair,0,0,9,3,0,22,5,6,2,6,8.14,7.8,1.044
2024-09-24,Chengalpattu,Appliance Repair,1,0,9,3,0,26,5,5,4,5,8.57,7.7,1.044
2024-09-25,Chengalpattu,Appliance Repair,2,0,9,3,0,21,6,5,16,4,8.71,7.5,1.044
2024-09-26,Chengalpattu,Appliance Repair,3,0,9,3,0,19,10,6,8,12,7.29,7.4,1.044
2024-09-27,Chengalpattu,Appliance Repair,4,0,9,3,0,21,8,10,12,9,7.57,7.67,1.044
2024-09-28,Chengalpattu,Appliance Repair,5,1,9,3,0,20,7,8,9,12,7.0,7.8,1.044
2024-09-29,Chengalpattu,Appliance Repair,6,1,9,3,0,22,5,7,6,5,6.71,7.8,1.044
2024-09-30,Chengalpattu,Appliance Repair,0,0,9,3,0,21,5,5,5,2,6.57,7.6,1.044
2024-10-01,Chengalpattu,Appliance Repair,1,0,10,4,0,22,6,5,5,4,6.57,7.43,1.179
2024-10-02,Chengalpattu,Appliance Repair,2,0,10,4,0,18,6,6,6,16,6.71,7.33,1.179
2024-10-03,Chengalpattu,Appliance Repair,3,0,10,4,0,20,8,6,10,8,6.71,7.37,1.179
2024-10-04,Chengalpattu,Appliance Repair,4,0,10,4,0,25,4,8,8,12,6.43,7.43,1.179
2024-10-05,Chengalpattu,Appliance Repair,5,1,10,4,0,18,7,4,7,9,5.86,7.33,1.179
2024-10-06,Chengalpattu,Appliance Repair,6,1,10,4,0,21,13,7,5,6,5.86,7.27,1.179
2024-10-07,Chengalpattu,Appliance Repair,0,0,10,4,0,21,8,13,5,5,7.0,7.4,1.179
